year,id,name,totalvotes,democrats,republicans,bias
2020,01001,"Autauga, AL",27770,7503.0,-19838.0,-0.4441843716240547
2020,01003,"Baldwin, AL",109679,24578.0,-83544.0,-0.5376234283682382
2020,01005,"Barbour, AL",10518,4816.0,-5622.0,-0.07663053812511884
2020,01007,"Bibb, AL",9595,1986.0,-7525.0,-0.5772798332464826
2020,01009,"Blount, AL",27588,2640.0,-24711.0,-0.8000217485863419
2020,01011,"Bullock, AL",4613,3446.0,-1146.0,0.4985909386516367
2020,01013,"Butler, AL",9488,3965.0,-5458.0,-0.1573566610455312
2020,01015,"Calhoun, AL",50983,15216.0,-35101.0,-0.3900319714414609
2020,01017,"Chambers, AL",15284,6365.0,-8753.0,-0.156241821512693
2020,01019,"Cherokee, AL",12301,1624.0,-10583.0,-0.7283147711568165
2020,01021,"Chilton, AL",19310,3073.0,-16085.0,-0.6738477472812014
2020,01023,"Choctaw, AL",7464,3127.0,-4296.0,-0.15661843515541266
2020,01025,"Clarke, AL",13135,5755.0,-7324.0,-0.11945184621240959
2020,01027,"Clay, AL",6930,1267.0,-5601.0,-0.6253968253968254
2020,01029,"Cleburne, AL",7227,675.0,-6484.0,-0.8037913380379134
2020,01031,"Coffee, AL",22275,5076.0,-16899.0,-0.5307744107744108
2020,01033,"Colbert, AL",27886,8343.0,-19203.0,-0.3894427311195582
2020,01035,"Conecuh, AL",6441,2966.0,-3442.0,-0.07390156807949076
2020,01037,"Coosa, AL",5479,1796.0,-3631.0,-0.3349151304982661
2020,01039,"Covington, AL",17430,2721.0,-14586.0,-0.6807228915662651
2020,01041,"Crenshaw, AL",6617,1700.0,-4864.0,-0.47816230920356656
2020,01043,"Cullman, AL",41851,4478.0,-36880.0,-0.7742228381639626
2020,01045,"Dale, AL",19738,5170.0,-14303.0,-0.4627115209241058
2020,01047,"Dallas, AL",17864,12230.0,-5524.0,0.37539184952978055
2020,01049,"Dekalb, AL",29356,4281.0,-24767.0,-0.6978471181359859
2020,01051,"Elmore, AL",41030,10367.0,-30164.0,-0.4825006093102608
2020,01053,"Escambia, AL",15910,4918.0,-10869.0,-0.37404148334380893
2020,01055,"Etowah, AL",47728,11567.0,-35528.0,-0.5020323499832383
2020,01057,"Fayette, AL",8766,1395.0,-7300.0,-0.6736253707506275
2020,01059,"Franklin, AL",12578,2086.0,-10376.0,-0.6590872952774686
2020,01061,"Geneva, AL",12545,1595.0,-10848.0,-0.7375846950976485
2020,01063,"Greene, AL",4775,3884.0,-875.0,0.6301570680628272
2020,01065,"Hale, AL",7900,4663.0,-3192.0,0.18620253164556963
2020,01067,"Henry, AL",9298,2606.0,-6607.0,-0.43030759303075933
2020,01069,"Houston, AL",46173,12917.0,-32618.0,-0.42667792865960624
2020,01071,"Jackson, AL",23636,3717.0,-19670.0,-0.6749449991538331
2020,01073,"Jefferson, AL",325848,181688.0,-138843.0,0.1314876875107412
2020,01075,"Lamar, AL",7193,978.0,-6174.0,-0.7223689698317809
2020,01077,"Lauderdale, AL",44339,11915.0,-31721.0,-0.4466947833735538
2020,01079,"Lawrence, AL",16031,3562.0,-12322.0,-0.5464412700392989
2020,01081,"Lee, AL",71449,27860.0,-42221.0,-0.20099651499671095
2020,01083,"Limestone, AL",49235,13672.0,-34640.0,-0.4258759012897329
2020,01085,"Lowndes, AL",6835,4972.0,-1836.0,0.458814923189466
2020,01087,"Macon, AL",8723,7108.0,-1541.0,0.6381978677060645
2020,01089,"Madison, AL",194767,87286.0,-102780.0,-0.07955146405705278
2020,01091,"Marengo, AL",10900,5488.0,-5343.0,0.013302752293577982
2020,01093,"Marion, AL",13807,1463.0,-12205.0,-0.7780111537625842
2020,01095,"Marshall, AL",39655,5943.0,-33191.0,-0.6871264657672425
2020,01097,"Mobile, AL",183164,79474.0,-101243.0,-0.11884977397305148
2020,01099,"Monroe, AL",10668,4455.0,-6147.0,-0.15860517435320584
2020,01101,"Montgomery, AL",99139,64529.0,-33311.0,0.31489121334691694
2020,01103,"Morgan, AL",53722,13234.0,-39664.0,-0.49197721603812217
2020,01105,"Perry, AL",5230,3860.0,-1339.0,0.4820267686424474
2020,01107,"Pickens, AL",9668,4022.0,-5594.0,-0.16259826230864707
2020,01109,"Pike, AL",13841,5636.0,-8042.0,-0.17383137056571057
2020,01111,"Randolph, AL",10837,2203.0,-8559.0,-0.5865091815077974
2020,01113,"Russell, AL",21329,11228.0,-9864.0,0.06395048994326973
2020,01115,"St. clair, AL",44441,7744.0,-36166.0,-0.6395445647037645
2020,01117,"Shelby, AL",114950,33268.0,-79700.0,-0.4039321444106133
2020,01119,"Sumter, AL",6291,4648.0,-1598.0,0.48481958353202986
2020,01121,"Talladega, AL",35663,13138.0,-22235.0,-0.25508229818018674
2020,01123,"Tallapoosa, AL",20991,5859.0,-14963.0,-0.43370968510313945
2020,01125,"Tuscaloosa, AL",90172,37765.0,-51117.0,-0.14807257241715832
2020,01127,"Walker, AL",31170,4834.0,-26002.0,-0.6791145332050048
2020,01129,"Washington, AL",8876,2258.0,-6564.0,-0.48512843623253715
2020,01131,"Wilcox, AL",5903,4048.0,-1833.0,0.37523293240725053
2020,01133,"Winston, AL",11284,974.0,-10195.0,-0.8171747607231479
2020,02001,"District 1, AK",7314,3477.0,-3511.0,-0.004648619086683074
2020,02002,"District 2, AK",6136,2104.0,-3674.0,-0.2558670143415906
2020,02003,"District 3, AK",8385,1903.0,-6076.0,-0.49767441860465117
2020,02004,"District 4, AK",10511,5345.0,-4690.0,0.0623156692988298
2020,02005,"District 5, AK",8654,4204.0,-4077.0,0.01467529466142824
2020,02006,"District 6, AK",9460,3272.0,-5770.0,-0.2640591966173362
2020,02007,"District 7, AK",9622,2215.0,-7027.0,-0.500103928497194
2020,02008,"District 8, AK",9912,1953.0,-7618.0,-0.5715294592413237
2020,02009,"District 9, AK",10993,2769.0,-7787.0,-0.45647230055489857
2020,02010,"District 10, AK",11205,2727.0,-8081.0,-0.477822400713967
2020,02011,"District 11, AK",10628,3130.0,-7096.0,-0.3731652239367708
2020,02012,"District 12, AK",11238,2957.0,-7893.0,-0.43922406122085783
2020,02013,"District 13, AK",7713,2666.0,-4652.0,-0.2574873590042785
